Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
81,tt3224458,12/25/2019,12/25/2019,"It was a movie that is about letting go of hate and anger and not being controlled by the hate of someone else who wronged you in the past. A perfect family movie for Christmas , Tom Hanks is terrific",Un amigo extraordinario,A Beautiful Day in the Neighborhood,https://www.imdb.com/title/tt3224458/,Película,7.2,109,2019,Biograf�a,90470,8/21/2020,Marielle Heller
82,tt4139588,2/16/2019,2/16/2019,"This movie should not be taken seriously, it is a funny, dumb, action based movie which delivers the action really well. Ignore the critics' reviews on this one. If you enjoyed John Wick or Sin City, this is a beautiful medley of the two.  ",Polar,Polar,https://www.imdb.com/title/tt4139588/,Película,6.3,118,2019,Acci�n,101151,1/25/2019,Jonas Åkerlund
83,tt5503686,12/1/2019,12/1/2019,"Hustlers shows impressive skills in filmmaking with clever shot choices, smart approach to its themes and real-life story, and strong performances from its cast, most notably from Jennifer Lopez who gives her best performance in this drama. ",Estafadoras de Wall Street,Hustlers,https://www.imdb.com/title/tt5503686/,Película,6.3,110,2019,Comedia,109306,11/8/2019,Lorene Scafaria
84,tt7533152,5/9/2019,5/9/2019,A genuinely inspiring story of a young boy's ingenuity and how putting knowledge in the hands of those who need it the most can make all the difference in the world. ,El niño que domó el viento,The Boy Who Harnessed the Wind,https://www.imdb.com/title/tt7533152/,Película,7.6,113,2019,Biograf�a,46425,3/1/2019,Chiwetel Ejiofor
85,tt1477834,1/27/2019,1/27/2019,"Aquaman combines a cheesy visual story with non-stop action, that feels like it goes on a little long with its 144 minute runtime. Amusing effort from DC to re-brand their name, just make it a little shorter next time. ",Aquaman,Aquaman,https://www.imdb.com/title/tt1477834/,Película,6.8,143,2018,Acci�n,530629,12/21/2018,James Wan
86,tt5884052,6/8/2019,6/8/2019,"Most of 90's people's childhood is incomplete without Pokemon. Once again Ryan Reynolds at his best. The animation is also so good that almost all Pokemon looking so real , the  visual effects are brilliant. ",Pokémon: Detective Pikachu,Pokémon: Detective Pikachu,https://www.imdb.com/title/tt5884052/,Película,6.5,104,2019,Acci�n,187407,5/10/2019,Rob Letterman
87,tt0448115,5/11/2019,5/11/2019,Not a superhero I was particularly familiar with going into this but enjoyed the origin elements of the movie. Most of the humour hit the mark. The most consistent DC movie made and a fun time over all.  ,¡Shazam!,Shazam!,https://www.imdb.com/title/tt0448115/,Película,7,132,2019,Acci�n,393496,4/5/2019,David F. Sandberg
88,tt6189022,11/17/2019,11/17/2019,"Angel Has Fallen is an all-out action film and it doesn't try to be anything else, I feel that's a part of its charm , not the best one in the series but didn’t disappoint. ",Objetivo: Washington D.C.,Angel Has Fallen,https://www.imdb.com/title/tt6189022/,Película,6.4,121,2019,Acci�n,113907,8/30/2019,Ric Roman Waugh
89,tt2481498,5/12/2019,5/12/2019,"As a Bundy researcher, I was actually impressed with Efron's Performance. Unfortunately, it's like watching 1/2 of a movie, there's just not enough of the actual mayhem this man enacted throughout his spree of crime. ","Extremadamente cruel, malvado y perverso","Extremely Wicked, Shockingly Evil and Vile",https://www.imdb.com/title/tt2481498/,Película,6.7,110,2019,Biograf�a,106902,5/3/2019,Joe Berlinger
90,tt8106534,12/13/2019,12/13/2019," 6 Underground  is Michael Bay on steroids with new toys  , just turn your brain off and enjoy this 2 hours action movie with great cast and awesome over the top action scenes. Ryan Reynolds as always kills it",6 en la sombra,6 Underground,https://www.imdb.com/title/tt8106534/,Película,6.1,128,2019,Acci�n,201779,12/13/2019,Michael Bay
